Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%),Date,Stage of Ground Water Extraction
State_7,District_84,108.8226817,54.81443194,15.47996252,21.45206462,265.9871919,14.82986544,295.7150295,91.80179466,74.80914891,159.1692163,16.6920552,66.51328602,82.62825786,31-03-2010,Critical
State_20,District_92,76.92459851,94.98826354,49.79925477,7.925293121,256.1348212,49.07862185,184.1175978,97.85480232,70.83932408,44.67010608,17.24777838,43.89087402,61.2809355,10-11-2011,Safe
State_15,District_75,163.0548251,76.48152061,31.08930643,24.99294784,398.3745967,17.47725718,175.6575289,55.67352373,73.50934005,212.5271097,36.87775543,95.31671768,66.89720686,17-12-2010,Safe
State_11,District_4,168.3210473,70.49365168,25.67433186,8.080814393,160.5525506,27.81096099,114.4446221,72.00385268,54.03069102,153.7232437,28.37933204,60.82132724,107.0130532,10-03-2010,Overexploited
State_8,District_79,76.0630213,23.98736222,36.36455058,22.46326563,177.4311787,29.52470174,225.3408901,121.1840998,44.46436441,177.5818698,49.67115513,21.99994722,102.2371249,12-06-2010,Overexploited
State_7,District_6,165.6281163,92.31306642,14.35573256,15.40363419,134.0621927,42.52251189,53.59323794,142.3579102,29.98739694,184.6806588,19.07543659,47.92162574,50.19454435,30-08-2010,Safe
State_19,District_94,192.0946832,92.75121536,35.46154587,17.84626836,375.2629029,13.96918384,62.37815743,132.044443,84.21637175,94.12651011,22.43320404,67.54044371,136.672775,10-05-2011,Overexploited
State_11,District_51,74.95663804,82.41704507,29.92944002,27.58245036,333.3433733,27.14577117,199.8396468,93.35685523,64.75150419,133.4817448,49.36962867,32.36291246,132.1625109,18-01-2011,Overexploited
State_11,District_62,165.6476439,20.56233631,26.2669628,27.24709316,346.7017334,35.14008681,135.4186435,73.33806438,49.99169765,240.3741103,43.27032563,7.964160629,86.18082987,21-02-2010,Critical
State_4,District_57,156.2858007,24.58242009,48.12080085,25.44640764,370.8291364,18.60622486,288.3290931,63.28435987,94.9596316,198.6751524,28.79196883,58.34356347,76.32259655,16-10-2011,Critical
State_8,District_66,121.0360833,38.01789618,30.90158867,17.75370951,257.469996,35.09871595,275.7976727,36.24435359,14.30549313,243.3025125,32.18387542,94.78701686,68.99127779,04-03-2010,Safe
State_3,District_79,58.68806908,30.50795265,18.76469918,23.40599525,235.3579574,46.9465935,228.4265647,33.85166214,86.51547507,194.1759559,43.72711683,48.50719856,111.9448294,24-05-2011,Overexploited
State_2,District_75,61.20416266,51.90688238,28.35853918,17.82242639,199.1174421,49.90072525,254.5363953,109.4864912,99.78243337,68.63203074,29.23920984,90.61090806,107.3165874,19-10-2010,Overexploited
State_12,District_8,177.8621989,93.80984465,46.77549618,26.74015206,276.7643843,11.29804307,216.8329624,53.7732741,89.82478998,44.19789445,18.24094894,83.50235884,45.5034789,01-04-2010,Safe
State_6,District_26,198.5222559,57.76483474,17.04381885,15.06939583,236.283519,19.42352913,81.39552568,53.10601924,82.93929271,157.0855161,43.13778154,14.74127836,107.2895441,26-10-2011,Overexploited
State_2,District_51,151.4078386,21.07221011,18.55828155,29.25588361,235.469676,22.41228463,241.3858424,149.7653571,43.68753941,108.7189215,31.51089965,70.81699218,52.81605523,28-02-2011,Safe
State_1,District_45,116.8937461,42.61965517,10.52118271,28.30806896,381.0783591,25.96504402,102.5479922,44.43037452,30.8182764,90.60074023,16.12170389,43.54655251,22.41258375,31-10-2011,Safe
State_12,District_44,147.1360465,23.56759267,10.56760198,23.54006549,395.2094543,19.6902863,130.8607138,39.24776873,76.13654684,207.5864192,30.22343325,25.02463253,110.8971281,31-12-2010,Overexploited
State_12,District_5,139.1593789,22.90300981,43.17566508,11.9853971,338.9453168,18.13951978,254.808553,32.82907961,37.41178297,110.7385188,26.52813522,68.69383557,103.8231683,30-05-2010,Overexploited
State_17,District_70,107.5418391,42.05758825,39.28490427,8.29133972,327.0274271,48.1821537,184.1314021,95.37469487,25.84357139,99.74021334,45.07370128,74.26607187,73.40520411,28-09-2010,Critical
State_10,District_26,59.84392169,42.04898709,24.20164226,26.36758625,304.1674485,46.74086411,264.9851785,101.6222974,80.78732984,216.9972705,15.04221725,17.98963187,88.33918727,04-08-2011,Critical
State_16,District_68,173.2269421,82.97012821,37.93244629,9.132557153,149.8224557,11.87970004,103.25883,67.47963041,38.1289287,216.183214,45.00839218,91.44446821,143.1319949,26-04-2010,Overexploited
State_15,District_19,105.7750294,97.98677222,25.80823705,26.35651972,117.7317463,23.55252086,201.9446097,89.60373362,92.29975565,108.4006603,30.48844067,75.1147244,97.37602352,05-12-2011,Critical
State_15,District_84,172.8178465,49.69656751,48.11587184,17.26912517,307.2178945,26.20594215,70.94774314,122.491939,85.65693803,213.1497142,26.1745772,93.33754991,105.5249116,31-05-2011,Overexploited
State_19,District_97,87.87631245,54.31095031,48.68210726,15.1639196,318.6358667,19.56058139,210.7652484,126.3535419,86.28762966,217.1712679,16.47868738,31.70732188,28.30847172,10-08-2011,Safe
